Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6240|P6250|P6260|P6270|P6280|P6300|P6310|P7430|P6330|P6340|P6351
3453575|1|2|2|1884.1112618|34535751|3|2|2|2|2|1|12||||
3453575|1|3|3|1884.1112618|34535751|3|2|2|2|2|2|||||
3453576|1|1|1|1600.1639683|34535761|1||||||||||
3453576|1|2|2|1600.1639683|34535761|1||||||||||
3453576|1|3|3|1600.1639683|34535761|1||||||||||
3453576|1|4|4|1600.1639683|34535761|1||||||||||
3453577|1|1|1|1006.4595786|34535771|6|1|||||||||
3453577|1|2|2|1006.4595786|34535771|6|2|2|2|2|2|||||
3453578|1|1|1|1644.6417057|34535781|1||||||||||
3453578|1|2|2|1644.6417057|34535781|1||||||||||
3453579|1|1|1|923.20858215|34535791|4|1|||||||||
3453579|1|2|2|923.20858215|34535791|3|2|2|2|2|1|12||||
3453579|1|3|3|923.20858215|34535791|3|2|2|2|2|1|12||||
3453579|1|4|4|923.20858215|34535791|3|2|2|2|2|1|12||||
3453580|1|1|1|1422.9153875|34535801|4|2|2|2|2|2|||||
3453580|1|2|2|1422.9153875|34535801|1||||||||||
3453580|1|3|3|1422.9153875|34535801|1||||||||||
3453581|1|1|1|1185.8020204|34535811|1||||||||||
3453582|1|1|1|1138.4966176|34535821|1||||||||||
3453582|1|2|2|1138.4966176|34535821|4|1|||||||||
3453582|1|3|3|1138.4966176|34535821|4|2|2|2|1||||||1
3453582|1|4|4|1138.4966176|34535821|1||||||||||
3453583|1|1|1|1104.82049|34535831|4|1|||||||||
3453583|1|2|2|1104.82049|34535831|3|2|2|2|2|2|||||
3453584|1|1|1|1104.82049|34535841|4|1|||||||||
3453584|1|2|2|1104.82049|34535841|3|2|2|2|2|2|||||
3453585|1|1|1|1295.1049448|34535851|2|2|2|2|1||||||1
3453586|1|1|1|764.77685081|34535861|1||||||||||
3453586|1|2|2|764.77685081|34535861|4|2|2|2|2|2|||||
3453587|1|1|1|1062.9785393|34535871|4|2|2|2|2|2|||||
3453587|1|2|2|1062.9785393|34535871|4|2|2|2|2|2|||||
3453587|1|3|3|1062.9785393|34535871|1||||||||||
3453587|1|4|4|1062.9785393|34535871|1||||||||||
3453587|1|5|5|1062.9785393|34535871|1||||||||||
3453587|1|6|6|1062.9785393|34535871|3|2|2|2|2|2|||||
3453588|1|1|1|1041.1769118|34535881|1||||||||||
3453588|1|2|2|1041.1769118|34535881|4|2|2|2|2|2|||||
3453588|1|3|3|1041.1769118|34535881|1||||||||||
3453588|1|4|4|1041.1769118|34535881|1||||||||||
3453588|1|5|5|1041.1769118|34535881|3|2|2|2|2|2|||||
3453588|1|6|6|1041.1769118|34535881|3|2|2|2|2|2|||||
3453589|1|1|1|1034.2618078|34535891|6|2|2|2|2|2|||||
3453590|1|1|1|1015.8000291|34535901|4|1|||||||||
3453590|2|1|1|1015.8000291|34535902|1||||||||||
3453591|1|1|1|764.05598205|34535911|1||||||||||
3453591|1|2|2|764.05598205|34535911|4|2|2|2|2|2|||||
3453591|1|3|3|764.05598205|34535911|1||||||||||
3453592|1|1|1|696.51969408|34535921|1||||||||||
3453592|1|2|2|696.51969408|34535921|1||||||||||
3453592|1|3|3|696.51969408|34535921|1||||||||||
3453593|1|1|1|665.9912008|34535931|6|1|||||||||
3453593|1|2|2|665.9912008|34535931|6|2|2|2|2|2|||||
3453593|1|3|3|665.9912008|34535931|1||||||||||
3453593|1|4|4|665.9912008|34535931|3|2|2|2|2|2|||||
3453594|1|1|1|1248.5509181|34535941|4|2|2|2|2|2|||||
3453594|1|2|2|1248.5509181|34535941|1||||||||||
