Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3453528|1|1|1|3912.4796663|34535281|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453529|1|1|1|2081.7325924|34535291|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453531|1|1|1|2297.8032139|34535311|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453532|1|1|1|3829.7325191|34535321|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453533|1|1|1|4185.3170397|34535331|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3453535|1|1|1|5578.9273602|34535351|2||2||1|2|2|2|2|2|2|1|2||7||1500000
3453537|1|1|1|4533.4596479|34535371|2||2||1|1|2|2|2|2|2|2|2||1||5000000
3453538|1|1|1|5578.9273602|34535381|1|1|2||1|2|2|1|2|2|2|2|1||3||4000000
3453539|1|1|1|4185.3170397|34535391|2||2||1|1|2|2|2|2|2|2|2||1||10000000
3453540|1|1|1|4645.64492|34535401|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453541|1|1|1|5578.9273602|34535411|2||2||1|2|2|2|2|2|2|1|2||7||3000000
3453542|1|1|1|4297.5023119|34535421|2||2||1|1|2|2|2|2|2|2|2||1||3600000
3453543|1|1|1|5087.9572674|34535431|2||2||1|1|2|2|2|2|2|2|1||1||1500000
3453544|1|1|1|4188.4009185|34535441|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453545|1|1|1|3695.032006|34535451|2||2||1|1|2|1|2|2|2|2|2||1||99
3453546|1|1|1|3462.7674883|34535461|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453547|1|1|1|5129.3825622|34535471|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453548|1|1|1|3791.7087819|34535481|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453549|1|1|1|7419.183221|34535491|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453550|1|1|1|4084.4691805|34535501|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453551|1|1|1|5526.0746989|34535511|2||2||1|2|2|2|2|2|2|2|1||8||2000000
3453552|1|1|1|3606.7386539|34535521|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453553|1|1|1|1587.6003795|34535531|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3453554|1|1|1|1456.6427378|34535541|2||2||1|2|2|1|2|2|2|1|1||3||3000000
3453554|1|2|2|1456.6427378|34535542|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453555|1|1|1|1280.4466546|34535551|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453556|1|1|1|849.75834617|34535561|2||2||1|1|2|1|2|2|2|2|2||1||3600000
3453557|1|1|1|1803.0487048|34535571|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3453558|1|1|1|1859.3451537|34535581|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453559|1|1|1|1700.4610629|34535591|2||2||1|1|2|2|2|2|2|2|1||1||1800000
3453560|1|1|1|948.63548198|34535601|2||2||1|1|2|2|2|2|2|2|2||1||98
3453561|1|1|1|1569.9634969|34535611|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453562|1|1|1|754.03303852|34535621|2||2||1|1|2|2|2|2|2|2|1||1||1400000
3453563|1|1|1|886.1969322|34535631|2||2||1|1|2|2|2|2|2|2|1||1||1600000
3453564|1|1|1|1367.3771446|34535641|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453565|1|1|1|2200.6915327|34535651|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453566|1|1|1|944.44111853|34535661|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3453567|1|1|1|696.96704048|34535671|2||2||2|2|1|2|2|2|2|2|1||8||900000
3453567|1|2|2|696.96704048|34535672|2||2||1|2|2|2|2|2|2|2|1||8||800000
3453568|1|1|1|893.89502043|34535681|2||2||1|2|2|2|2|2|2|2|1||8||900000
3453569|1|1|1|824.51601842|34535691|2||2||1|1|2|2|2|2|2|2|2||1||2700000
3453570|1|1|1|1053.179426|34535701|2||2||1|2|2|2|2|2|2|1|1||7||1000000
3453571|1|1|1|1937.0399122|34535711|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453572|1|1|1|1698.8707135|34535721|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453573|1|1|1|1185.8020204|34535731|2||2||1|1|2|1|2|2|2|2|2||3||2600000
3453574|1|1|1|946.72075075|34535741|2||2||1|1|2|2|2|2|2|1|2||1||2500000
3453575|1|1|1|1884.1112618|34535751|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453576|1|1|1|1600.1639683|34535761|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453577|1|1|1|1006.4595786|34535771|2||2||1|2|2|1|2|2|2|2|1||3||1800000
3453578|1|1|1|1644.6417057|34535781|2||2||1|1|2|2|2|2|2|2|2||1||98
3453579|1|1|1|923.20858215|34535791|2||2||1|1|2|1|2|2|2|2|2||1||2300000
3453580|1|1|1|1422.9153875|34535801|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453581|1|1|1|1185.8020204|34535811|2||2||1|1|2|2|2|2|2|2|2||1||3100000
3453582|1|1|1|1138.4966176|34535821|2||2||1|1|2|2|2|2|2|2|2||1||3500000
3453583|1|1|1|1104.82049|34535831|2||2||1|1|2|2|2|2|2|2|1||8||1000000
3453584|1|1|1|1104.82049|34535841|2||2||1|1|2|2|2|2|2|2|1||1||1500000
3453585|1|1|1|1295.1049448|34535851|2||2||1|2|2|2|2|2|2|2|1||8||800000
3453586|1|1|1|764.77685081|34535861|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453587|1|1|1|1062.9785393|34535871|2||2||2|1|2|2|2|2|2|2|2||1||3000000
3453588|1|1|1|1041.1769118|34535881|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453589|1|1|1|1034.2618078|34535891|2||2||1|2|2|1|2|2|2|2|2||3||1300000
3453590|1|1|1|1015.8000291|34535901|2||2||1|1|2|2|2|2|2|1|2||7||800000
3453590|1|2|2|1015.8000291|34535902|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3453591|1|1|1|764.05598205|34535911|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3453592|1|1|1|696.51969408|34535921|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453593|1|1|1|665.9912008|34535931|2||2||2|1|2|1|2|2|2|2|2||1||3000000
3453594|1|1|1|1248.5509181|34535941|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453595|1|1|1|776.28948603|34535951|2||2||1|1|2|2|2|2|2|2|2||1||900000
3453596|1|1|1|1522.2957921|34535961|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453597|1|1|1|1536.4441139|34535971|2||2||1|1|1|2|2|2|2|2|2||1||1800000
3453598|1|1|1|918.82324085|34535981|2||2||2|1|2|2|2|2|2|2|2||1||1500000
3453599|1|1|1|1299.1534151|34535991|2||2||1|1|1|1|2|2|2|2|2||1||1600000
