Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3453579|1|1|1|923.20858215|08|1|1|3|1|1|1|1
3453580|1|1|1|1422.9153875|08|2|1|3|1|1|1|1
3453581|1|1|1|1185.8020204|08|1|1|3|1|1|1|1
3453582|1|1|1|1138.4966176|08|2|1|3|1|1|1|1
3453583|1|1|1|1104.82049|08|2|1|2|1|1|1|1
3453584|1|1|1|1104.82049|08|2|1|2|1|1|1|1
3453585|1|1|1|1295.1049448|08|2|1|2|1|1|1|1
3453586|1|1|1|764.77685081|08|2|1|2|1|1|1|1
3453587|1|1|1|1062.9785393|08|1|1|2|1|1|1|1
3453588|1|1|1|1041.1769118|08|2|1|2|1|1|1|1
3453589|1|1|1|1034.2618078|08|1|1|1|1|1|1|1
3453590|1|1|1|1015.8000291|08|1|1|1|1|1|1|1
3453591|1|1|1|764.05598205|08|1|1|1|1|1|1|1
3453592|1|1|1|696.51969408|08|2|1|1|1|1|1|1
3453593|1|1|1|665.9912008|08|2|1|1|1|1|1|1
3453594|1|1|1|1248.5509181|08|1|1|1|1|1|1|1
3453595|1|1|1|776.28948603|08|1|1|1|1|1|1|1
3453596|1|1|1|1522.2957921|08|2|1|1|1|1|1|1
3453597|1|1|1|1536.4441139|08|2|1|1|1|1|1|1
3453598|1|1|1|918.82324085|08|2|1|1|1|1|1|1
3453599|1|1|1|1299.1534151|08|2|1|1|1|1|1|1
3453600|1|1|1|1373.6179513|08|2|1|1|1|1|1|1
3453601|1|1|1|1664.2946662|08|2|1|1|1|1|1|1
3453602|1|1|1|1471.5215261|08|2|1|1|1|1|1|1
3453603|1|1|1|1279.4250756|08|2|1|1|2|1|1|1
3453604|1|1|1|665.56444133|08|2|1|1|1|1|1|1
3453605|1|1|1|1426.086904|08|1|1|1|1|1|1|1
3453606|1|1|1|1514.801571|08|2|1|3|1|1|1|1
3453607|1|1|1|1678.0568428|08|2|1|3|1|1|1|1
3453608|1|1|1|871.97963885|08|2|1|3|1|1|1|1
3453609|1|1|1|1394.1628215|08|2|1|3|1|1|1|1
3453610|1|1|1|648.20384013|08|1|1|3|1|1|1|1
3453611|1|1|1|1703.5302022|08|1|1|1|1|1|1|1
3453612|1|1|1|2168.3065651|08|1|1|1|1|1|1|1
3453613|1|1|1|2018.3453686|08|1|1|1|1|1|1|1
3453614|1|1|1|1165.898151|08|2|1|1|1|1|1|1
3453615|1|1|1|1048.4918485|08|1|1|1|1|1|1|1
3453616|1|1|1|1499.2121396|08|2|1|1|1|1|1|1
3453617|1|1|1|1471.6340321|08|2|1|1|1|1|1|1
3453618|1|1|1|1483.4570825|08|1|1|1|1|1|1|1
3453619|1|1|1|1480.1521219|08|1|1|1|1|1|1|1
3453620|1|1|1|1608.1317993|08|1|1|1|1|1|1|1
3453621|1|1|1|1060.8269441|08|1|1|1|1|1|1|1
3453622|1|1|1|1397.7633033|08|1|1|1|1|1|1|1
3453623|1|1|1|1269.2717065|08|1|1|1|1|1|1|1
3453624|1|1|1|1243.2230087|08|1|1|1|1|1|1|1
3453625|1|1|1|1406.827642|08|1|1|1|1|1|1|1
3453626|1|1|1|1397.7633033|08|1|1|1|1|1|1|1
3453627|1|1|1|1562.5409404|08|1|1|1|1|1|1|1
3453628|1|1|1|979.6131559|08|2|1|1|1|1|1|1
3453629|1|1|1|1416.192386|08|2|1|1|1|1|1|1
3453630|1|1|1|1203.8435682|08|2|1|1|1|1|1|1
3453631|1|1|1|1021.0879287|08|2|1|1|1|1|1|1
3453632|1|1|1|1049.4127279|08|2|1|1|1|1|1|1
3453633|1|1|1|1494.3342439|08|1|1|1|1|1|1|1
3453634|1|1|1|1047.7889938|08|2|1|1|1|1|1|1
3453635|1|1|1|873.11194785|08|2|1|1|1|1|1|1
3453636|1|1|1|994.80997154|08|2|1|1|1|1|1|1
3453637|1|1|1|1687.5821308|08|1|1|1|1|1|1|1
3453638|1|1|1|681.75860827|08|2|1|1|1|1|1|1
3453639|1|1|1|1852.9923553|08|1|1|1|1|1|1|1
3453640|1|1|1|1456.1147764|08|2|1|1|1|1|1|1
3453641|1|1|1|1715.8906975|08|1|1|1|1|1|1|1
3453642|1|1|1|1491.4256721|08|1|1|1|1|1|1|1
3453643|1|1|1|1419.4817389|08|1|1|1|1|1|1|1
3453644|1|1|1|1583.3402601|08|2|1|1|1|1|1|1
3453645|1|1|1|1687.6432135|08|1|1|1|1|1|1|1
3453646|1|1|1|1378.6220999|08|1|1|1|1|1|1|1
3453647|1|1|1|2211.2945181|08|1|1|1|1|1|1|1
3453648|1|1|1|1468.5520164|08|2|1|1|1|1|1|1
3453649|1|1|1|2135.143253|08|1|1|1|1|1|1|1
3453650|1|1|1|1436.7391218|08|2|1|1|1|1|1|1
3453651|1|1|1|2823.1859479|08|1|1|1|1|1|1|1
3453652|1|1|1|1435.9048997|08|2|1|1|1|1|1|1
3453653|1|1|1|1562.3248972|08|1|1|1|1|1|1|1
3453654|1|1|1|1851.8318811|08|1|1|2|1|1|1|1
3453655|1|1|1|1595.7904691|08|1|1|2|1|1|1|1
3453656|1|1|1|1614.7064408|08|1|1|2|1|1|1|1
3453657|1|1|1|1864.2820901|08|1|1|2|1|1|1|1
3453658|1|1|1|1930.0304582|08|1|1|2|1|1|1|1
3453659|1|1|1|2407.2114601|08|1|1|2|1|1|1|1
3453660|1|1|1|2101.4075304|08|2|1|2|1|1|1|1
3453661|1|1|1|1739.609438|08|1|1|2|1|1|1|1
3453662|1|1|1|6375.7534671|11|1|1|2|1|1|1|1
3453663|1|1|1|5112.5998246|11|2|1|2|1|1|1|1
3453664|1|1|1|5999.7050676|11|1|1|2|1|1|1|1
3453665|1|1|1|2855.1843163|11|1|1|1|1|1|1|1
3453666|1|1|1|9358.664163|11|2|1|2|1|1|1|1
3453667|1|1|1|7270.3161637|11|1|1|1|1|1|1|1
3453668|1|1|1|5499.4863621|11|1|1|2|1|1|1|1
3453669|1|1|1|5269.4547136|11|1|1|1|1|1|1|1
3453670|1|1|1|4568.4306628|11|1|1|2|1|1|1|1
3453671|1|1|1|4557.5925248|11|3|1|1|1|1|1|1
3453672|1|1|1|4568.4306628|11|2|1|2|1|1|1|1
3453673|1|1|1|3692.1635578|11|2|1|1|1|1|1|1
3453674|1|1|1|7098.2551183|11|2|1|3|1|1|1|1
3453675|1|1|1|6746.8686814|11|2|1|3|1|1|1|1
3453676|1|1|1|4809.2502831|11|2|1|3|1|1|1|1
3453677|1|1|1|7744.4100327|11|2|1|3|1|1|1|1
3453678|1|1|1|7678.862637|11|2|1|3|1|1|1|1
3453679|1|1|1|5503.8959841|11|2|1|3|1|1|1|1
3453680|1|1|1|7421.7382101|11|2|1|3|1|1|1|1
3453681|1|1|1|8066.7608659|11|2|1|3|1|1|1|1
3453682|1|1|1|4941.3897901|11|1|1|2|1|1|1|1
3453683|1|1|1|5255.0913986|11|1|1|2|1|1|1|1
3453684|1|1|1|7630.2045811|11|2|1|2|1|1|1|1
3453685|1|1|1|4764.2509411|11|1|1|2|1|1|1|1
3453686|1|1|1|5967.4975063|11|2|1|2|1|1|1|1
3453687|1|1|1|4764.2509411|11|2|1|2|1|1|1|1
3453688|1|1|1|6632.2645341|11|2|1|2|1|1|1|1
