Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P1992|P1993S1|P1993S1A1|P1994|P1994S1|P1995|P1995S1|P1996S1|P1996S1A1|P1996S2|P1996S2A1|P1996S3|P1996S3A1|P1996S4|P1996S4A1|P1996S5|P1996S5A1|P1996S7|P1996S7A1|P1996S8|P1996S8A1|P1996S10|P1996S10A1|P1997|P1998
3453524|1|2|2|2311.6672818|34535241|2||||||||||||||||||||||||4
3453524|1|1|1|2311.6672818|34535241|2||||||||||||||||||||||||2
3453525|1|1|1|2935.7926426|34535251|1|05|05642|3||2024-06-01|2024-06-21|2||1|20|2||2||2||2||2||2||5|
3453525|1|2|2|2935.7926426|34535251|2||||||||||||||||||||||||1
3453526|1|1|1|3931.5885295|34535261|2||||||||||||||||||||||||1
3453526|1|2|2|3931.5885295|34535261|2||||||||||||||||||||||||4
3453526|1|3|3|3931.5885295|34535261|2||||||||||||||||||||||||1
3453527|1|1|1|2900.9597698|34535271|2||||||||||||||||||||||||4
3453527|1|2|2|2900.9597698|34535271|2||||||||||||||||||||||||4
3453527|1|3|3|2900.9597698|34535271|2||||||||||||||||||||||||2
3453528|1|1|1|3912.4796663|34535281|2||||||||||||||||||||||||2
3453528|1|2|2|3912.4796663|34535281|2||||||||||||||||||||||||2
3453529|1|1|1|2081.7325924|34535291|2||||||||||||||||||||||||2
3453529|1|2|2|2081.7325924|34535291|2||||||||||||||||||||||||1
3453529|1|3|3|2081.7325924|34535291|2||||||||||||||||||||||||2
3453531|1|1|1|2297.8032139|34535311|2||||||||||||||||||||||||4
3453531|1|2|2|2297.8032139|34535311|2||||||||||||||||||||||||1
3453532|1|1|1|3829.7325191|34535321|2||||||||||||||||||||||||2
3453532|1|2|2|3829.7325191|34535321|2||||||||||||||||||||||||1
3453533|1|1|1|4185.3170397|34535331|2||||||||||||||||||||||||1
3453533|1|2|2|4185.3170397|34535331|2||||||||||||||||||||||||1
3453535|1|1|1|5578.9273602|34535351|2||||||||||||||||||||||||7
3453537|1|1|1|4533.4596479|34535371|2||||||||||||||||||||||||3
3453537|1|2|2|4533.4596479|34535371|2||||||||||||||||||||||||2
3453538|1|1|1|5578.9273602|34535381|2||||||||||||||||||||||||3
3453539|1|1|1|4185.3170397|34535391|2||||||||||||||||||||||||4
