Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3409782|1|1|1|86.460291053|34097821|2||2||1|2|2|1|2|2|2|2|2||3||3900000
3409783|1|1|1|68.245636585|34097831|2||2||2|1|2|2|2|2|2|2|2||1||700000
3409784|1|1|1|100.07310991|34097841|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3409785|1|1|1|128.29885886|34097851|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3409786|1|1|1|107.54559085|34097861|2||2||1|2|2|2|2|2|2|1|2||7||3000000
3409787|1|1|1|158.73905184|34097871|2||2||1|1|2|2|2|2|2|2|2||1||6500000
3409788|1|1|1|88.293578796|34097881|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409789|1|1|1|127.73128669|34097891|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3409790|1|1|1|88.293578796|34097901|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409791|1|1|1|759.34733388|34097911|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3409792|1|1|1|378.69635356|34097921|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3409793|1|1|1|759.34733388|34097931|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409794|1|1|1|397.46866161|34097941|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3409796|1|1|1|189.83683347|34097961|2||2||1|2|2|1|2|2|2|2|2||3||1300000
3409797|1|1|1|522.23351172|34097971|2||2||1|1|2|2|2|2|2|2|2||1||8000000
3409798|1|1|1|245.37704664|34097981|2||2||1|1|2|1|2|2|2|2|2||3||1500000
3409799|1|1|1|267.72551807|34097991|2||2||2|1|2|2|2|2|2|2|2||1||2500000
3409800|1|1|1|700.9360005|34098001|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409801|1|1|1|456.63031631|34098011|2||2||1|2|2|2|2|2|2|2|1||8||1850000
3409802|1|1|1|244.01666152|34098021|2||2||1|1|2|2|2|2|2|2|2||1||1500000
