Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6160|P6170|P6175|P6210|P6210S1|P6220
3409711|1|2|2|871.24490719|34097111|1|2||4|08|
3409711|1|3|3|871.24490719|34097111|1|2||5|11|2
3409711|1|4|4|871.24490719|34097111|1|2||5|11|2
3409713|1|1|1|413.62749795|34097131|1|1|1|6|02|2
3409713|1|2|2|413.62749795|34097131|2|1|1|2|00|
3409717|1|1|1|384.10469143|34097171|1|2||4|09|
3409717|1|2|2|384.10469143|34097171|1|1|1|6|00|2
3409717|1|3|3|384.10469143|34097171|1|1|1|4|08|
3409717|1|4|4|384.10469143|34097171|1|1|1|4|08|
3409720|1|1|1|724.63827141|34097201|1|2||4|09|
3409720|1|2|2|724.63827141|34097201|1|2||4|07|
3409720|1|3|3|724.63827141|34097201|1|2||4|07|
3409720|1|4|4|724.63827141|34097201|1|2||4|07|
3409722|1|1|1|219.5168878|34097221|1|2||6|02|3
3409722|1|2|2|219.5168878|34097221|1|2||5|13|2
3409722|1|3|3|219.5168878|34097221|1|2||6|05|4
3409722|1|4|4|219.5168878|34097221|1|1|1|6|03|2
3409723|1|1|1|446.10794325|34097231|1|2||3|02|
3409723|1|2|2|446.10794325|34097231|1|2||3|03|
3409723|1|3|3|446.10794325|34097231|1|1|1|4|06|
3409725|1|1|1|684.22772783|34097251|1|2||3|05|
3409725|1|2|2|684.22772783|34097251|1|2||4|09|
3409725|1|3|3|684.22772783|34097251|1|2||5|11|2
3409725|1|5|5|684.22772783|34097251|1|1|1|3|03|
3409725|1|6|6|684.22772783|34097251|1|2||3|05|
3409725|1|7|7|684.22772783|34097251|1|2||4|08|
3409727|1|1|1|647.50767665|34097271|1|2||4|06|
3409727|1|2|2|647.50767665|34097271|1|1|1|4|00|
3409727|1|3|3|647.50767665|34097271|2|1|1|1|00|
3409727|1|4|4|647.50767665|34097271|1|2||4|09|
3409730|1|1|1|621.57749816|34097301|1|2||3|04|
3409730|1|2|2|621.57749816|34097301|1|2||3|04|
3409732|1|1|1|761.41110406|34097321|1|2||4|06|
3409732|1|2|2|761.41110406|34097321|1|2||4|08|
3409734|1|1|1|578.44430723|34097341|1|2||4|07|
3409734|1|2|2|578.44430723|34097341|1|2||5|11|2
3409734|1|3|3|578.44430723|34097341|1|1|1|3|00|
3409734|1|4|4|578.44430723|34097341|2|1|1|2|00|
3409735|1|1|1|883.34684464|34097351|1|2||4|09|
3409735|1|2|2|883.34684464|34097351|1|2||5|11|2
3409735|1|3|3|883.34684464|34097351|1|1|1|3|03|
3409737|1|1|1|650.1808281|34097371|1|2||5|11|2
3409737|1|2|2|650.1808281|34097371|1|1|1|3|04|
