Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3469580|1|1|1|1376.548766|08|1|1|2|1|1|1|1
3469581|1|1|1|2091.0528475|08|1|1|2|1|1|1|1
3469582|1|1|1|2768.7814451|08|1|1|2|1|1|1|1
3469583|1|1|1|1810.8149896|08|1|1|2|1|1|1|1
3469584|1|1|1|2850.0195996|11|1|1|2|1|1|1|1
3469585|1|1|1|2850.0195996|11|1|1|2|1|1|1|1
3469586|1|1|1|2850.0195996|11|1|1|2|1|1|1|1
3469587|1|1|1|6284.9487069|11|2|1|2|1|1|1|1
3469588|1|1|1|19759.533702|11|2|1|2|1|1|1|1
3469589|1|1|1|12112.583298|11|1|1|2|1|1|1|1
3469590|1|1|1|12112.583298|11|1|1|2|1|1|1|1
3469591|1|1|1|3028.1458246|11|2|1|2|1|1|1|1
3469592|1|1|1|3420.0235195|11|2|1|3|1|1|1|1
3469593|1|1|1|3970.9520827|11|2|1|3|1|1|1|1
3469594|1|1|1|13680.094078|11|1|1|2|2|1|1|1
3469595|1|1|1|9023.7431642|11|2|1|3|1|1|1|1
3469596|1|1|1|5763.7281888|11|2|1|3|1|1|1|1
3469597|1|1|1|13680.094078|11|2|1|3|1|1|1|1
3469598|1|1|1|9597.2901885|11|2|1|3|1|1|1|1
3469599|1|1|1|3420.0235195|11|2|1|3|1|1|1|1
3469600|1|1|1|5282.7158932|11|2|1|2|1|1|1|1
3469601|1|1|1|2983.6142683|11|2|1|2|1|1|1|1
3469602|1|1|1|6181.4604567|11|2|1|2|1|1|1|1
3469603|1|1|1|2983.6142683|11|2|1|2|1|1|1|1
3469604|1|1|1|11934.457073|11|2|1|2|1|1|1|1
3469605|1|1|1|8086.5078576|11|2|1|2|1|1|1|1
3469606|1|1|1|2983.6142683|11|2|1|2|1|1|1|1
3469607|1|1|1|6367.5593356|11|2|1|3|1|1|1|1
3469608|1|1|1|6367.5593356|11|2|1|4|1|1|1|1
3469609|1|1|1|10555.105225|11|2|1|4|1|1|1|1
3469610|1|1|1|9691.780162|11|2|1|4|1|1|1|1
3469611|1|1|1|5070.2107215|11|2|1|4|1|1|1|1
3469612|1|1|1|3443.7736828|11|2|1|2|1|1|1|1
3469613|1|1|1|3443.7736828|11|1|1|2|1|1|1|1
3469614|1|1|1|7134.8200296|11|1|1|2|1|1|1|1
3469615|1|1|1|4482.8807976|11|1|1|2|2|1|1|1
3469616|1|1|1|6528.2794574|11|1|1|2|2|1|1|1
3469617|1|1|1|3384.3982745|11|1|1|3|1|1|1|1
3469618|1|1|1|3384.3982745|11|1|1|3|1|1|1|1
3469619|1|1|1|3384.3982745|11|1|1|3|1|1|1|1
3469620|1|1|1|5470.6969449|11|1|1|3|1|1|1|1
3469621|1|1|1|5470.6969449|11|1|1|3|1|1|1|1
3469622|1|1|1|8908.6204223|11|1|1|3|1|1|1|1
3469623|1|1|1|5227.6876027|11|1|1|3|1|1|1|1
3469624|1|1|1|10059.494831|11|2|1|3|2|1|1|1
3469625|1|1|1|7917.6372743|11|2|1|3|2|1|1|1
3469626|1|1|1|5903.0348049|11|2|1|3|2|1|1|1
3469627|1|1|1|8880.6445933|11|2|1|4|2|1|1|1
3469628|1|1|1|5343.7867492|11|2|1|1|1|1|1|1
3469629|1|1|1|5343.7867492|11|2|1|1|1|1|1|2
3469630|1|1|1|8637.9425445|11|1|1|2|1|1|1|1
3469631|1|1|1|9567.465692|11|1|1|1|1|1|1|1
3469632|1|1|1|5343.7867492|11|2|1|1|1|1|1|1
3469633|1|1|1|5343.7867492|11|1|1|2|1|1|1|1
3469634|1|1|1|6956.1943411|11|1|1|1|1|1|1|1
3469635|1|1|1|9314.2803494|11|2|1|3|1|1|1|1
3469636|1|1|1|3530.1379131|11|2|1|3|1|1|1|1
3469637|1|1|1|5823.8263869|11|2|1|3|1|1|1|1
3469638|1|1|1|3530.1379131|11|2|1|3|1|1|1|1
3469639|1|1|1|3530.1379131|11|2|1|3|1|1|1|1
3469640|1|1|1|9429.999717|11|2|1|3|1|1|1|1
3469641|1|1|1|661.6087566|13|1|1|3|1|1|1|1
3469643|1|1|1|449.96946511|13|2|1|2|1|1|1|1
3469644|1|1|1|554.15103011|13|2|1|2|1|1|1|1
3469645|1|1|1|483.19333232|13|1|1|3|1|1|1|1
3469646|1|1|1|483.19333232|13|2|1|2|1|1|1|1
3469647|1|1|1|472.90204449|13|2|1|3|1|1|1|1
3469648|1|1|1|503.54903391|13|1|1|1|1|1|1|1
3469649|1|1|1|861.03679607|13|2|1|2|1|1|1|1
