Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3469624|1|1|1|10059.494831|34696241|1|1|2||1|1|2|2|2|2|2|2|2||1||8000000
3469625|1|1|1|7917.6372743|34696251|2||2||1|1|2|2|2|2|2|2|2||1||8000000
3469626|1|1|1|5903.0348049|34696261|2||2||1|1|2|1|2|2|2|2|2||1||5000000
3469627|1|1|1|8880.6445933|34696271|2||2||1|1|2|2|2|2|2|2|2||1||5000000
3469628|1|1|1|5343.7867492|34696281|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469629|1|1|1|5343.7867492|34696291|2||2||1|1|2|2|2|2|2|2|2||1||600000
3469630|1|1|1|8637.9425445|34696301|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469631|1|1|1|9567.465692|34696311|2||2||1|1|2|1|2|2|2|2|2||3||1300000
3469632|1|1|1|5343.7867492|34696321|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469633|1|1|1|5343.7867492|34696331|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469634|1|1|1|6956.1943411|34696341|2||2||1|1|2|1|2|2|2|2|2||3||1300000
3469635|1|1|1|9314.2803494|34696351|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469636|1|1|1|3530.1379131|34696361|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469637|1|1|1|5823.8263869|34696371|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3469638|1|1|1|3530.1379131|34696381|2||2||1|1|2|2|2|2|2|2|2||1||900000
3469639|1|1|1|3530.1379131|34696391|2||2||1|1|2|2|2|2|2|2|2||1||2300000
3469640|1|1|1|9429.999717|34696401|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469641|1|1|1|661.6087566|34696411|2||2||1|2|2|1|2|2|2|2|2||3||2000000
3469643|1|1|1|449.96946511|34696431|2||2||1|1|2|2|2|2|2|2|2||1||98
3469644|1|1|1|554.15103011|34696441|2||2||1|2|2|2|2|2|2|1|1||7||900000
3469645|1|1|1|483.19333232|34696451|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3469646|1|1|1|483.19333232|34696461|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3469647|1|1|1|472.90204449|34696471|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3469648|1|1|1|503.54903391|34696481|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469649|1|1|1|861.03679607|34696491|2||2||1|1|2|2|2|2|2|2|2||1||700000
3469650|1|1|1|644.14796149|34696501|2||2||1|1|2|2|2|2|2|2|2||1||98
3469651|1|1|1|1005.3829958|34696511|2||2||1|1|2|2|2|2|2|2|2||1||600000
3469652|1|1|1|888.7281805|34696521|2||2||1|1|2|2|2|2|2|2|2||1||98
3469653|1|1|1|604.43659492|34696531|2||2||1|1|2|2|2|2|2|2|2||1||98
3469654|1|1|1|783.32598189|34696541|2||2||1|1|2|2|2|2|2|2|2||1||800000
3469655|1|1|1|773.30883737|34696551|2||2||1|1|2|2|2|2|2|2|2||1||1700000
3469656|1|1|1|607.55016786|34696561|2||2||1|2|2|2|1|2|2|2|1||4||1200000
3469657|1|1|1|526.10112385|34696571|2||2||1|1|1|2|2|2|2|2|2||1||1800000
3469658|1|1|1|773.90267784|34696581|2||2||1|1|1|2|2|2|2|2|1||1||98
3469659|1|1|1|550.33079313|34696591|2||2||1|1|2|2|2|2|2|2|2||1||5000000
3469660|1|1|1|497.53847127|34696601|2||2||1|1|2|2|2|2|2|2|2||1||98
3469661|1|1|1|612.29283276|34696611|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469662|1|1|1|584.33984808|34696621|2||2||1|1|2|1|2|2|2|2|2||3||1600000
3469663|1|1|1|532.46776511|34696631|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469664|1|1|1|432.03567492|34696641|2||2||1|1|2|2|2|2|2|2|2||1||3200000
3469665|1|1|1|542.70953803|34696651|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3469666|1|1|1|429.82157861|34696661|2||2||1|1|2|2|2|2|2|2|2||1||1980000
3469667|1|1|1|321.70950606|34696671|2||2||1|1|2|2|2|2|2|2|2||1||99
3469668|1|1|1|572.9353463|34696681|2||2||1|1|2|2|1|2|2|2|2||1||1300000
3469669|1|1|1|443.84162282|34696691|2||2||1|1|2|1|2|2|2|2|2||3||2500000
3469670|1|1|1|883.04310629|34696701|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3469672|1|1|1|641.5512834|34696721|2||2||1|1|2|2|2|2|2|2|2||1||98
3469673|1|1|1|748.78279468|34696731|2||2||1|1|2|2|2|2|2|2|2||1||3200000
3469674|1|1|1|546.23497293|34696741|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469675|1|1|1|702.77704816|34696751|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469676|1|1|1|607.55016786|34696761|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469677|1|1|1|996.58434868|34696771|2||2||1|1|2|2|2|2|2|2|1||1||1000000
3469678|1|1|1|597.90667607|34696781|2||2||1|1|1|2|2|2|2|2|2||1||1000000
3469679|1|1|1|547.09671306|34696791|2||2||1|1|1|2|2|2|2|2|2||1||800000
3469680|1|1|1|592.12275589|34696801|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469681|1|1|1|789.28372973|34696811|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469682|1|1|1|736.70619469|34696821|2||2||1|1|2|2|2|2|2|2|2||1||900000
3469683|1|1|1|844.58224633|34696831|2||2||1|1|2|2|2|2|2|2|2||1||900000
3469684|1|1|1|418.72000831|34696841|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3469685|1|1|1|459.80540612|34696851|2||2||1|1|2|2|2|2|2|2|2||1||800000
3469686|1|1|1|497.86128333|34696861|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3469687|1|1|1|556.39904934|34696871|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469688|1|1|1|512.66205242|34696881|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469689|1|1|1|569.15274442|34696891|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469690|1|1|1|533.66200354|34696901|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469691|1|1|1|474.62416146|34696911|2||2||1|1|2|2|2|2|2|2|2||1||800000
3469692|1|1|1|792.52183918|34696921|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469693|1|1|1|777.79317729|34696931|2||2||1|1|2|2|2|2|2|1|2||1||2500000
3469694|1|1|1|570.95102919|34696941|2||2||1|1|2|2|2|2|2|2|2||1||3200000
3469695|1|1|1|501.25208934|34696951|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469696|1|1|1|501.66314382|34696961|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469697|1|1|1|441.60945239|34696971|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469698|1|1|1|748.78279468|34696981|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469699|1|1|1|546.23497293|34696991|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469700|1|1|1|625.84906467|34697001|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469701|1|1|1|756.57101128|34697011|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469702|1|1|1|876.22211994|34697021|2||2||1|1|2|2|1|2|2|2|2||1||98
3469703|1|1|1|487.67688416|34697031|2||2||1|1|1|2|2|2|2|2|2||1||1700000
3469704|1|1|1|440.29070265|34697041|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469705|1|1|1|649.06567028|34697051|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3469706|1|1|1|859.19499886|34697061|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3469707|1|1|1|702.77704816|34697071|2||2||1|1|2|2|2|2|1|2|2||1||1600000
3469708|1|1|1|148.43389291|34697081|2||2||1|1|2|2|2|2|2|2|2||1||1200000
